Χώρα,Συνολικός αριθμός κρουσμάτων,Νέα κρούσματα,Θάνατοι,Νέοι θάνατοι,Ανάρρωσαν,Σοβαρά,Ενεργά
Ηνωμένες Πολιτείες,488980,20414,18009,1318,26187,10896,444784
Ισπανία,157053,3831,15970,523,55668,7371,85415
Ιταλία,147577,3951,18849,570,30455,3497,98273
Γαλλία,124869,7120,13197,987,24932,7004,86740
Γερμανία,119624,1389,2607,0,52407,4895,64610
Ηνωμένο Βασίλειο,73758,8681,8958,980,135,1559,64665
Ιράν,68192,1972,4232,122,35465,3969,28495
Τουρκία,47029,4747,1006,98,2423,1667,43600
Βέλγιο,26667,1684,3019,496,5568,1278,18080
Ελβετία,24551,500,1001,53,10600,386,12950
Ολλανδία,23097,1335,2511,115,250,1424,20336
Καναδάς,21281,516,531,22,5580,518,15170
Βραζιλία,18397,252,974,20,173,296,17250
Πορτογαλία,15472,1516,435,26,233,226,14804
Αυστρία,13549,305,319,24,6064,261,7166
Ρωσία,11917,1786,94,18,795,8,11028
Νότια Κορέα,10450,27,208,4,7117,55,3125
Ισραήλ,10095,127,95,9,1061,164,8939
Σουηδία,9685,544,870,77,381,749,8434
Ινδία,7598,873,229,2,641,0,6728
Ισημερινός,7161,2196,297,25,368,171,6496
Ιρλανδία,6574,0,263,0,25,194,6286
Χιλή,6501,529,65,8,1571,360,4865
Νορβηγία,6298,79,113,5,32,70,6153
Αυστραλία,6203,51,53,2,3141,74,3009
Πολωνία,5955,380,181,7,318,160,5456
Περού,5897,641,169,31,1569,130,4159
Δανία,5819,184,247,10,1773,113,3799
Τσεχία,5674,105,119,7,346,98,5209
Ιαπωνία,5530,183,99,0,685,109,4746
Ρουμανία,5467,265,270,22,729,183,4468
Πακιστάν,4695,206,66,1,727,45,3902
Μαλαισία,4346,118,70,3,1830,69,2446
Φιλιππίνες,4195,119,221,18,140,1,3834
Σαουδική Αραβία,3651,364,47,3,685,57,2919
Ινδονησία,3512,219,306,26,282,0,2924
Μεξικό,3441,260,194,20,633,89,2614
Λουξεμβούργο,3223,108,54,2,500,30,2669
Σερβία,3105,238,71,5,118,136,2916
Ηνωμένα Αραβικά Εμιράτα,2990,0,14,0,268,1,2708
Φινλανδία,2769,164,48,6,300,82,2421
Παναμάς,2752,0,66,0,16,107,2670
Δομινικανή Δημοκρατία,2620,271,126,8,98,147,2396
Κατάρ,2512,136,6,0,227,37,2279
Ταϊλάνδη,2473,50,33,1,1013,61,1427
Κολομβία,2223,0,69,0,174,85,1980
Ουκρανία,2203,311,69,12,61,33,2073
Σιγκαπούρη,2108,198,7,1,492,29,1609
Ελλάδα,2011,56,91,4,269,77,1651
Νότια Αφρική,2003,69,24,6,410,7,1569
Λευκορωσία,1981,495,19,3,169,72,1793
Αργεντινή,1894,0,81,2,375,96,1438
Αλγερία,1761,95,256,21,405,46,1100
Αίγυπτος,1699,0,118,0,348,0,1233
Ισλανδία,1675,27,6,0,751,11,918
Κροατία,1495,88,21,1,231,34,1243
Μαρόκο,1448,74,107,10,122,1,1219
Μολδαβία,1438,149,29,0,56,80,1353
Νέα Ζηλανδία,1283,44,2,1,373,5,908
Ιράκ,1279,47,70,1,550,0,659
Εσθονία,1258,51,24,0,93,9,1141
Ουγγαρία,1190,210,77,11,112,17,1001
Σλοβενία,1160,36,45,2,137,36,978
Λιθουανία,999,44,22,6,54,14,923
Κουβέιτ,993,83,1,0,123,26,869
Αζερμπαϊτζάν,991,65,10,1,159,27,822
Χονγκ Κονγκ,990,16,4,0,309,15,677
Αρμενία,937,16,12,2,149,30,776
Μπαχρέιν,913,26,6,1,530,3,377
Βοσνία,901,43,36,1,129,4,736
Καζακστάν,812,31,10,2,64,21,738
Καμερούν,803,0,12,0,61,0,730
Σλοβακία,715,14,2,0,23,5,690
Βόρεια Μακεδονία,711,48,32,2,41,15,638
Τυνησία,671,28,25,0,25,78,621
Βουλγαρία,635,17,25,1,54,33,556
Ουζμπεκιστάν,624,42,3,0,42,8,579
Λεττονία,612,23,3,0,16,3,593
Λίβανος,609,27,20,1,76,28,513
Ανδόρρα,601,18,26,1,71,17,504
Κύπρος,595,31,10,0,58,11,527
Κούβα,564,49,15,0,51,11,498
Κόστα Ρίκα,539,0,3,0,30,13,506
Αφγανιστάν,521,37,15,0,32,0,474
Ομάν,484,27,3,0,109,3,372
Ουρουγουάη,473,17,7,0,206,13,260
Ακτή Ελεφαντοστού,444,0,3,0,52,0,389
Μπουρκίνα Φάσο,443,0,24,0,146,0,273
Μπανγκλαντές,424,94,27,6,33,1,364
Αλβανία,416,7,23,0,182,7,211
Νίγηρας,410,0,11,0,40,0,359
Νησιά της Μάγχης,398,37,9,1,40,0,349
Ονδούρα,382,39,23,0,7,10,352
Ταϊβάν,382,2,6,1,91,0,285
Ρεϋνιόν,382,20,0,0,40,3,342
Γκάνα,378,0,6,0,4,2,368
Ιορδανία,372,0,7,0,170,5,195
Μάλτα,350,13,2,0,16,4,332
Άγιος Μαρίνος,344,11,34,0,50,14,260
Μαυρίκιος,318,4,9,2,23,3,286
